type,t_us,idx,ax,ay,az,gx,gy,gz,roll,pitch,yaw,temp,state,shank_deg,shank_rate_dps,acc_g,knee_rad,knee_vel,tau_g,tau_imp,tau_cmd,tau_fb,k,b,theta_eq,landing,flex_peak,shank_cross
IMU,10345219.0,1,0.5068,-0.0522,0.8638,0.0,0.06,0.0,-3.45,-30.37,0.44,26.8,,,,,,,,,,,,,,,,
IMU,10382033.0,2,0.25,0.4214,0.8706,0.06,-0.06,0.0,25.83,-14.44,-0.15,27.6,,,,,,,,,,,,,,,,
EXO,10426890,,,,,,,,,,,,SAFE,-12.063,-0.061,0.999,1.286,0.064,0.009,0.0,0.009,-0.013,0.0,0.0,0.0,0.0,0.0,0.0
IMU,10445318.0,1,0.5054,-0.0527,0.8618,0.0,0.0,0.0,-3.45,-30.37,0.44,26.9,,,,,,,,,,,,,,,,
IMU,10481853.0,2,0.252,0.4199,0.8735,0.0,0.0,0.0,25.83,-14.44,-0.15,27.7,,,,,,,,,,,,,,,,
EXO,10526799,,,,,,,,,,,,SAFE,-12.063,0.0,1.001,1.286,0.034,0.009,0.0,0.009,0.007,0.0,0.0,0.0,0.0,0.0,0.0
IMU,10545563.0,1,0.5054,-0.0527,0.8662,0.06,0.0,0.0,-3.45,-30.36,0.44,26.7,,,,,,,,,,,,,,,,
IMU,10581844.0,2,0.2476,0.4189,0.8711,0.06,0.0,0.0,25.83,-14.44,-0.15,27.6,,,,,,,,,,,,,,,,
EXO,10626790,,,,,,,,,,,,SAFE,-12.063,0.0,0.998,1.286,-0.037,0.009,0.0,0.009,-0.008,0.0,0.0,0.0,0.0,0.0,0.0
IMU,10645759.0,1,0.5088,-0.0513,0.8638,0.06,0.0,0.0,-3.45,-30.36,0.44,26.7,,,,,,,,,,,,,,,,
IMU,10681783.0,2,0.2485,0.4209,0.8696,0.06,0.06,0.0,25.83,-14.44,-0.15,27.7,,,,,,,,,,,,,,,,
EXO,10726810,,,,,,,,,,,,SAFE,-12.063,0.061,0.998,1.286,0.026,0.009,0.0,0.009,-0.003,0.0,0.0,0.0,0.0,0.0,0.0
IMU,10745915.0,1,0.5054,-0.0527,0.8633,0.0,0.12,0.0,-3.45,-30.37,0.44,26.9,,,,,,,,,,,,,,,,
IMU,10781676.0,2,0.2485,0.4209,0.8687,0.24,-0.12,0.0,25.83,-14.44,-0.15,27.7,,,,,,,,,,,,,,,,
EXO,10826886,,,,,,,,,,,,SAFE,-12.063,-0.122,0.997,1.286,-0.069,0.009,0.0,0.009,0.015,0.0,0.0,0.0,0.0,0.0,0.0
IMU,10846018.0,1,0.5063,-0.0532,0.8643,0.0,0.0,0.0,-3.45,-30.37,0.44,26.8,,,,,,,,,,,,,,,,
IMU,10881666.0,2,0.2495,0.4199,0.874,0.12,0.0,0.0,25.83,-14.44,-0.15,27.7,,,,,,,,,,,,,,,,
EXO,10926801,,,,,,,,,,,,SAFE,-12.063,0.0,1.001,1.286,0.08,0.009,0.0,0.009,0.003,0.0,0.0,0.0,0.0,0.0,0.0
IMU,10946240.0,1,0.5093,-0.0522,0.8643,0.06,0.0,0.0,-3.45,-30.37,0.44,26.7,,,,,,,,,,,,,,,,
IMU,10981536.0,2,0.2466,0.4189,0.8716,0.0,0.12,0.0,25.83,-14.44,-0.15,27.7,,,,,,,,,,,,,,,,
EXO,11026842,,,,,,,,,,,,SAFE,-12.063,0.122,0.998,1.286,-0.053,0.009,0.0,0.009,0.012,0.0,0.0,0.0,0.0,0.0,0.0
IMU,11046342.0,1,0.5083,-0.0513,0.8633,0.0,0.0,0.0,-3.45,-30.37,0.44,26.7,,,,,,,,,,,,,,,,
IMU,11081373.0,2,0.249,0.4209,0.8701,0.0,0.0,0.0,25.83,-14.44,-0.15,27.7,,,,,,,,,,,,,,,,
EXO,11126808,,,,,,,,,,,,SAFE,-12.063,0.0,0.998,1.286,-0.006,0.009,0.0,0.009,0.005,0.0,0.0,0.0,0.0,0.0,0.0
IMU,11146520.0,1,0.5063,-0.0532,0.8647,0.0,0.0,0.0,-3.45,-30.37,0.44,26.7,,,,,,,,,,,,,,,,
IMU,11181361.0,2,0.251,0.4204,0.8721,0.0,0.06,0.0,25.83,-14.44,-0.15,27.7,,,,,,,,,,,,,,,,
EXO,11226800,,,,,,,,,,,,SAFE,-12.063,0.061,1.0,1.286,0.021,0.009,0.0,0.009,-0.001,0.0,0.0,0.0,0.0,0.0,0.0
IMU,11246761.0,1,0.5073,-0.0513,0.8652,0.0,0.06,0.0,-3.45,-30.37,0.44,26.8,,,,,,,,,,,,,,,,
IMU,11281241.0,2,0.251,0.4194,0.8726,0.0,0.0,0.0,25.83,-14.44,-0.15,27.7,,,,,,,,,,,,,,,,
EXO,11326842,,,,,,,,,,,,SAFE,-12.063,0.0,1.0,1.286,-0.052,0.009,0.0,0.009,0.007,0.0,0.0,0.0,0.0,0.0,0.0
IMU,11346942.0,1,0.5078,-0.0522,0.8652,0.0,0.0,0.0,-3.46,-30.36,0.44,26.7,,,,,,,,,,,,,,,,
IMU,11381205.0,2,0.2485,0.4199,0.8721,0.0,0.0,0.0,25.83,-14.44,-0.15,27.6,,,,,,,,,,,,,,,,
EXO,11426800,,,,,,,,,,,,SAFE,-12.063,0.0,0.999,1.286,-0.03,0.009,0.0,0.009,0.01,0.0,0.0,0.0,0.0,0.0,0.0
IMU,11447048.0,1,0.5059,-0.0527,0.8667,0.0,0.0,0.0,-3.46,-30.36,0.44,26.7,,,,,,,,,,,,,,,,
IMU,11481112.0,2,0.2515,0.4209,0.8672,0.0,0.0,0.0,25.83,-14.44,-0.15,27.7,,,,,,,,,,,,,,,,
EXO,11526782,,,,,,,,,,,,SAFE,-12.068,0.0,0.996,1.286,0.015,0.009,0.0,0.009,-0.016,0.0,0.0,0.0,0.0,0.0,0.0
IMU,11547253.0,1,0.5068,-0.0532,0.8633,0.0,0.18,0.0,-3.46,-30.36,0.44,26.8,,,,,,,,,,,,,,,,
IMU,11581093.0,2,0.252,0.4189,0.8687,0.06,-0.12,0.0,25.83,-14.44,-0.15,27.6,,,,,,,,,,,,,,,,
EXO,11626886,,,,,,,,,,,,SAFE,-12.068,-0.122,0.997,1.286,-0.021,0.009,0.0,0.009,-0.005,0.0,0.0,0.0,0.0,0.0,0.0
IMU,11647415.0,1,0.5059,-0.0537,0.8643,0.0,0.06,0.0,-3.46,-30.36,0.44,26.7,,,,,,,,,,,,,,,,
IMU,11681036.0,2,0.2515,0.4224,0.8721,0.06,-0.12,0.0,25.82,-14.44,-0.15,27.6,,,,,,,,,,,,,,,,
EXO,11726888,,,,,,,,,,,,SAFE,-12.068,-0.122,1.001,1.286,-0.142,0.009,0.0,0.009,-0.009,0.0,0.0,0.0,0.0,0.0,0.0
IMU,11747597.0,1,0.5054,-0.0522,0.8628,0.0,-0.06,0.0,-3.46,-30.36,0.44,26.7,,,,,,,,,,,,,,,,
IMU,11780895.0,2,0.2485,0.4214,0.8677,0.0,0.0,0.0,25.83,-14.44,-0.15,27.7,,,,,,,,,,,,,,,,
EXO,11826880,,,,,,,,,,,,SAFE,-12.068,0.0,0.996,1.286,0.022,0.009,0.0,0.009,0.074,0.0,0.0,0.0,0.0,0.0,0.0
IMU,11847777.0,1,0.5063,-0.0527,0.8643,0.0,0.06,0.0,-3.46,-30.36,0.44,26.8,,,,,,,,,,,,,,,,
IMU,11880851.0,2,0.251,0.4209,0.8726,0.24,-0.18,0.0,25.83,-14.44,-0.15,27.7,,,,,,,,,,,,,,,,
EXO,11926926,,,,,,,,,,,,SAFE,-12.068,-0.183,1.001,1.286,0.077,0.009,0.0,0.009,-0.018,0.0,0.0,0.0,0.0,0.0,0.0
IMU,11947918.0,1,0.5078,-0.0522,0.8638,0.0,0.12,0.0,-3.46,-30.37,0.44,26.8,,,,,,,,,,,,,,,,
IMU,11980766.0,2,0.2471,0.4194,0.8696,0.0,-0.18,0.0,25.83,-14.44,-0.15,27.7,,,,,,,,,,,,,,,,
EXO,12026905,,,,,,,,,,,,SAFE,-12.068,-0.183,0.997,1.286,0.143,0.009,0.0,0.009,-0.011,0.0,0.0,0.0,0.0,0.0,0.0
IMU,12048049.0,1,0.5059,-0.0532,0.8652,0.0,0.0,0.0,-3.46,-30.37,0.44,26.7,,,,,,,,,,,,,,,,
IMU,12080722.0,2,0.2505,0.4209,0.8721,0.18,0.0,0.0,25.83,-14.44,-0.15,27.7,,,,,,,,,,,,,,,,
