type,t_us,ax,ay,az,gx,gy,gz,roll,pitch,yaw,temp,state,shank_deg,shank_rate_dps,acc_g,knee_rad,knee_vel,tau_g,tau_imp,tau_cmd,tau_fb,k,b,theta_eq,landing,flex_peak,shank_cross
EXO,17912071,,,,,,,,,,,SAFE,-11.58,-4.089,1.001,1.205,0.077,-0.0,0.0,0.0,-0.007,0.0,0.0,0.0,0.0,0.0,0.0
EXO,18012071,,,,,,,,,,,SAFE,-11.964,-2.441,0.989,1.206,0.015,-0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0
EXO,18112071,,,,,,,,,,,SAFE,-12.415,-7.019,0.999,1.206,-0.028,-0.0,0.0,0.0,-0.011,0.0,0.0,0.0,0.0,0.0,0.0
EXO,18212071,,,,,,,,,,,SAFE,-12.964,-2.869,0.998,1.206,-0.049,-0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0
EXO,18312071,,,,,,,,,,,SAFE,-12.887,-0.427,0.972,1.206,0.092,-0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0
EXO,18412071,,,,,,,,,,,SAFE,-13.162,-0.61,1.014,1.206,-0.093,-0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0
EXO,18512071,,,,,,,,,,,SAFE,-13.162,1.587,0.996,1.206,0.015,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXO,18612071,,,,,,,,,,,SAFE,-13.129,-1.465,0.986,1.206,-0.132,-0.0,0.0,0.0,-0.005,0.0,0.0,0.0,0.0,0.0,0.0
EXO,18712071,,,,,,,,,,,SAFE,-13.173,1.221,1.003,1.206,-0.099,-0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0
EXO,18812071,,,,,,,,,,,SAFE,-13.25,-0.549,1.004,1.206,-0.022,-0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,0.0
EXO,18912071,,,,,,,,,,,SAFE,-13.189,-0.427,0.98,1.206,-0.072,-0.0,0.0,0.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0
EXO,19012071,,,,,,,,,,,SAFE,-13.228,-1.099,1.006,1.206,0.093,-0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0
EXO,19112071,,,,,,,,,,,SAFE,-13.348,0.732,1.014,1.206,0.026,-0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0
EXO,19212071,,,,,,,,,,,SAFE,-13.436,-1.526,0.975,1.206,-0.009,-0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0
EXO,19312071,,,,,,,,,,,SAFE,-13.348,2.38,0.994,1.206,-0.065,-0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0
EXO,19412071,,,,,,,,,,,SAFE,-13.414,1.343,1.015,1.206,0.036,-0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0
EXO,19512071,,,,,,,,,,,SAFE,-13.447,-0.366,1.004,1.206,0.001,-0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0,0.0
EXO,19612071,,,,,,,,,,,SAFE,-13.348,-0.61,0.978,1.206,-0.028,-0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0
