type,t_us,idx,ax,ay,az,gx,gy,gz,roll,pitch,yaw,temp,state,shank_deg,shank_rate_dps,acc_g,knee_rad,knee_vel,tau_g,tau_imp,tau_cmd,tau_fb,k,b,theta_eq,landing,flex_peak,shank_cross
IMU,12947510.0,2,0.4268,-0.9746,0.1289,7.57,-5.43,-12.27,-80.47,-22.84,91.24,26.9,,,,,,,,,,,,,,,,
EXO,13047531,,,,,,,,,,,,SAFE,-22.841,-5.432,1.072,0.621,0.16,-0.0,0.0,0.0,-0.006,0.0,0.0,0.0,0.0,0.0,0.0
IMU,13065022.0,1,-0.043,-0.915,0.1978,13.24,3.23,8.73,-79.18,0.84,40.49,25.3,,,,,,,,,,,,,,,,
IMU,13047409.0,2,0.3364,-0.8296,0.1606,13.98,4.27,10.74,-79.29,-22.75,91.6,26.9,,,,,,,,,,,,,,,,
EXO,13147336,,,,,,,,,,,,SAFE,-22.753,4.272,0.91,0.621,0.037,-0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0,0.0
IMU,13165246.0,1,0.0298,-1.1318,0.1455,-8.73,-28.75,-8.97,-78.56,0.86,40.5,25.3,,,,,,,,,,,,,,,,
IMU,13147333.0,2,0.5312,-1.0068,0.1147,2.14,-10.99,-7.32,-78.45,-22.25,90.81,27.0,,,,,,,,,,,,,,,,
EXO,13247586,,,,,,,,,,,,SAFE,-22.247,-10.986,1.144,0.621,0.007,-0.0,0.0,0.0,-0.007,0.0,0.0,0.0,0.0,0.0,0.0
IMU,13265367.0,1,-0.0112,-0.8286,0.228,8.85,18.31,11.6,-78.65,0.35,42.14,25.4,,,,,,,,,,,,,,,,
IMU,13247306.0,2,0.2139,-0.7798,0.2017,5.49,9.16,7.2,-78.41,-23.16,92.92,26.8,,,,,,,,,,,,,,,,
EXO,13347276,,,,,,,,,,,,SAFE,-23.165,9.155,0.833,0.621,0.079,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMU,13365546.0,1,0.0181,-1.1162,0.1841,-7.93,1.89,-5.55,-78.18,1.41,39.95,25.4,,,,,,,,,,,,,,,,
